Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
3/16/2020,32,PM2.5,KENDALL,12-086-0034,AirNow,32,32,Miami-Dade
3/17/2020,38,Ozone,Rosenstiel,12-086-0027,AirNow,38,34,Miami-Dade
3/18/2020,27,PM2.5,KENDALL,12-086-0034,AirNow,.,27,Miami-Dade
3/20/2020,37,Ozone,Perdue,12-086-0029,AirNow,37,31,Miami-Dade
3/21/2020,34,Ozone,Perdue,12-086-0029,AirNow,34,32,Miami-Dade
3/22/2020,33,Ozone,Perdue,12-086-0029,AirNow,33,29,Miami-Dade
3/23/2020,32,Ozone,Rosenstiel,12-086-0027,AirNow,32,26,Miami-Dade
3/24/2020,33,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,31,33,Miami-Dade
3/25/2020,42,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,33,42,Miami-Dade
3/26/2020,52,PM2.5,KENDALL,12-086-0034,AirNow,47,52,Miami-Dade
3/27/2020,56,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,44,56,Miami-Dade
3/28/2020,43,Ozone,Perdue,12-086-0029,AirNow,43,35,Miami-Dade
3/29/2020,31,Ozone,Perdue,12-086-0029,AirNow,31,29,Miami-Dade
3/30/2020,28,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,22,28,Miami-Dade
3/31/2020,36,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,25,36,Miami-Dade
4/1/2020,49,Ozone,Perdue,12-086-0029,AirNow,49,45,Miami-Dade
4/4/2020,51,Ozone,Rosenstiel,12-086-0027,AirNow,51,37,Miami-Dade
4/5/2020,48,Ozone,Rosenstiel,12-086-0027,AirNow,48,33,Miami-Dade
4/6/2020,41,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,39,41,Miami-Dade
4/7/2020,36,Ozone,Rosenstiel,12-086-0027,AirNow,36,31,Miami-Dade
4/8/2020,30,PM2.5,KENDALL,12-086-0034,AirNow,29,30,Miami-Dade
4/9/2020,40,PM2.5,KENDALL,12-086-0034,AirNow,27,40,Miami-Dade
4/10/2020,60,PM2.5,KENDALL,12-086-0034,AirNow,33,60,Miami-Dade
4/11/2020,55,PM2.5,HOMESTEAD FIRE STATION,12-086-6001,AirNow,40,55,Miami-Dade
4/12/2020,62,PM2.5,KENDALL,12-086-0034,AirNow,32,62,Miami-Dade
4/13/2020,67,PM2.5,KENDALL,12-086-0034,AirNow,23,67,Miami-Dade
4/14/2020,55,PM2.5,KENDALL,12-086-0034,AirNow,19,55,Miami-Dade
4/16/2020,62,PM2.5,KENDALL,12-086-0034,AirNow,34,62,Miami-Dade
