Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
4/10/2020,34,Ozone,San Francisco,06-075-0005,AirNow,34,22,San Francisco
4/11/2020,36,Ozone,San Francisco,06-075-0005,AirNow,36,14,San Francisco
4/12/2020,51,PM2.5,San Francisco,06-075-0005,AirNow,39,51,San Francisco
4/13/2020,53,PM2.5,San Francisco,06-075-0005,AirNow,39,53,San Francisco
4/14/2020,41,Ozone,San Francisco,06-075-0005,AirNow,41,37,San Francisco
4/15/2020,48,PM2.5,San Francisco,06-075-0005,AirNow,33,48,San Francisco
4/16/2020,29,Ozone,San Francisco,06-075-0005,AirNow,29,19,San Francisco
4/17/2020,38,Ozone,San Francisco,06-075-0005,AirNow,38,29,San Francisco
4/18/2020,39,Ozone,San Francisco,06-075-0005,AirNow,39,23,San Francisco
4/19/2020,38,Ozone,San Francisco,06-075-0005,AirNow,38,20,San Francisco
